epochs, batch_size, lr, loss, acc
6, 128, 0.01, 0.5413116293343885, 0.8426847097418343
6, 128, 0.5, 144603.44883040935, 0.5031613268435317
6, 128, 0.1, 129.69077700341654, 0.6025891604859032
6, 256, 1e-05, 2.277681189021845, 0.14136930835903186
6, 256, 0.0005, 1.4456628191060032, 0.5891165983319316
6, 256, 0.0001, 2.0961856513187804, 0.405235930053266
6, 256, 0.005, 0.4932613037098414, 0.8563711189374826
6, 256, 0.001, 0.9288474705027437, 0.7352368499439305
6, 256, 0.05, 11.40765639009147, 0.6430021142883842
6, 256, 0.01, 0.6867257699199106, 0.8070105889636482
6, 256, 0.5, 178877.84491738505, 0.2511633696617139
6, 256, 0.1, 168.9467208686916, 0.4520090850154191
8, 32, 1e-05, 2.2084344785813, 0.28099279835390945
8, 32, 0.0005, 0.43525878618858016, 0.8730794482347844
8, 32, 0.0001, 1.3406843050704367, 0.6718546946068876
8, 32, 0.005, 0.43935452523635843, 0.8767750297812432
8, 32, 0.001, 0.3998899451342591, 0.8869564923110245
8, 32, 0.05, 8.74771698965141, 0.6055457412822179
8, 32, 0.01, 0.49611916926782024, 0.852433939787741
8, 32, 0.5, 54455.40332530953, 0.6505357239549491
8, 32, 0.1, 63.88499301776551, 0.6590521442495126
8, 64, 1e-05, 2.2318925041901436, 0.18415554688274358
8, 64, 0.0005, 0.5958634485975343, 0.8289489171374765
8, 64, 0.0001, 1.6209121001394173, 0.5094665291406483
8, 64, 0.005, 0.43568203267123967, 0.8731407659331946
8, 64, 0.001, 0.4214421796519854, 0.8727559099018732
8, 64, 0.05, 6.328996689696061, 0.6689208234215482
8, 64, 0.01, 0.5318133686369623, 0.8413765920804837
8, 64, 0.5, 34672.56295687134, 0.6488633970165526
8, 64, 0.1, 88.23957602740728, 0.5915299150064426
8, 128, 1e-05, 2.283010262494896, 0.1402862466124661
8, 128, 0.0005, 0.9118364411487914, 0.7677552090762135
8, 128, 0.0001, 1.8615149385050724, 0.4255110273142206
8, 128, 0.005, 0.4727513047686794, 0.8623394635810394
8, 128, 0.001, 0.5023125617476235, 0.855002406931964
8, 128, 0.05, 13.038928132308158, 0.6206430074169164
8, 128, 0.01, 0.5512190443730494, 0.8358372111681643
8, 128, 0.5, 55995.77188413742, 0.5632974819331527
8, 128, 0.1, 130.28761385198223, 0.5365248211144392
8, 256, 1e-05, 2.281788532761322, 0.13521443673488456
8, 256, 0.0005, 1.3468269589303556, 0.6187856275114475
8, 256, 0.0001, 2.118399318607374, 0.38497387802541816
8, 256, 0.005, 0.5244243371075598, 0.8432652322212878
8, 256, 0.001, 0.8728962006240056, 0.7563154874544434
8, 256, 0.05, 20.058768387498528, 0.5392245759742081
